,GRANDE,XGBoost,CatBoost
Accuracy,0.8365155131264916,0.7702863961813843,0.7905727923627685
F1 Score,0.6821433713190915,0.6809129826966279,0.7106101637384612
ROC AUC,0.8403985520879583,0.8038721362221335,0.8575216421710652
